arm,role,update,length,words,prefix_exact_count,state_correct_count,token_correct_count,token_denominator,E,E_low95,E_high95,A,A_low95,A_high95,M,state_ce
seq,dev,25000,10,102400,44,2119,585988,1024000,0.0004296875,0.00032011930198977835,0.0005767362994441386,0.020693359375,0.019839257891671375,0.02158342116404014,0.57225390625,4.076132441283553
seq,dev,25000,11,102400,5,1934,587922,1126400,4.8828125e-05,2.0856631032296734e-05,0.0001143087946344752,0.01888671875,0.018070836802337807,0.0197386965478116,0.5219477982954546,4.09135448082874
seq,dev,25000,12,102400,1,1836,589758,1228800,9.765625e-06,1.7238746867777096e-06,5.5319481670543434e-05,0.0179296875,0.017134837678754334,0.018760704973313534,0.4799462890625,4.095045521149295
seq,ood_dev,25000,1,102400,102400,102400,102400,102400,1.0,0.9999624871609701,1.0,1.0,0.9999624871609701,1.0,1.0,0.01707070653430293
seq,ood_dev,25000,2,102400,100708,100708,203108,204800,0.9834765625,0.9826774469962324,0.98423940484684,0.9834765625,0.9826774469962324,0.98423940484684,0.99173828125,0.07336012977213995
seq,ood_dev,25000,3,102400,100508,102075,305183,307200,0.9815234375,0.980680372165165,0.9823303762124348,0.996826171875,0.9964625290351344,0.9971525399944426,0.9934342447916666,0.012551081513122146
seq,ood_dev,25000,4,102400,98854,99809,404992,409600,0.96537109375,0.9642336589453169,0.9664736137728249,0.974697265625,0.9737174408592257,0.9756414759065477,0.98875,0.08394302630195381
seq,ood_dev,25000,5,102400,89973,91576,496568,512000,0.878642578125,0.876628327117032,0.880628421216802,0.894296875,0.892398919847166,0.8961652477624302,0.969859375,0.34034649739416706
seq,ood_dev,25000,6,102400,54645,58552,555120,614400,0.533642578125,0.5305858695735584,0.5366967626192063,0.571796875,0.568763530584383,0.5748248328063874,0.903515625,1.4339737516279734
seq,ood_dev,25000,7,102400,14641,19207,574327,716800,0.142978515625,0.14084788429654965,0.14513593273239755,0.187568359375,0.18518914116290727,0.18997101798277796,0.8012374441964286,3.0676214679329736
seq,ood_dev,25000,8,102400,2709,6497,580824,819200,0.026455078125,0.02548975186212743,0.02745593241672807,0.063447265625,0.06197054275428666,0.06495674116061871,0.709013671875,3.7868838845579416
seq,ood_dev,25000,9,102400,413,3097,583921,921600,0.004033203125,0.003663178810924714,0.004440437684306037,0.030244140625,0.029212695861569396,0.03131082914030283,0.6335948350694445,4.012627813406118
seq,ood_dev,25000,10,102400,50,2062,585983,1024000,0.00048828125,0.00037042144397575276,0.0006436172614223406,0.02013671875,0.01929419753495547,0.021015242033096366,0.5722490234375,4.076383658733684
